iter	Passed	Remaining
315	611	1324
316	612	1320
317	614	1317
318	615	1314
319	616	1311
320	618	1307
321	619	1303
322	621	1301
323	622	1299
324	624	1297
325	625	1293
326	627	1290
327	628	1287
328	629	1284
329	631	1281
330	632	1278
331	633	1275
332	635	1272
333	637	1270
334	639	1268
335	640	1265
336	641	1262
337	642	1259
338	644	1257
339	646	1254
340	647	1251
341	649	1248
342	654	1253
343	656	1252
344	659	1251
345	661	1251
346	663	1248
347	664	1245
348	669	1248
349	670	1245
350	672	1242
351	673	1240
352	675	1238
353	676	1235
354	678	1232
355	679	1228
356	682	1229
357	684	1228
358	686	1225
359	687	1222
360	689	1219
361	691	1218
362	692	1215
363	693	1212
364	694	1209
365	698	1210
366	700	1208
367	702	1205
368	703	1202
369	704	1199
370	706	1197
371	707	1194
372	708	1191
373	710	1188
374	712	1188
375	714	1186
376	716	1183
377	717	1180
378	718	1177
379	719	1174
380	720	1171
381	722	1168
382	723	1165
383	724	1162
384	727	1161
385	729	1159
386	730	1156
387	731	1153
388	732	1151
389	734	1148
390	735	1145
391	736	1142
392	737	1139
393	739	1136
394	740	1133
395	742	1132
396	744	1130
397	745	1127
398	746	1124
399	747	1121
400	749	1119
401	750	1116
402	751	1113
403	752	1110
404	754	1107
405	755	1104
406	758	1105
407	763	1107
408	764	1105
409	766	1102
410	767	1099
411	768	1096
412	769	1094
413	771	1092
414	773	1090
415	774	1087
416	776	1085
417	777	1082
418	778	1079
419	779	1076
420	780	1073
421	781	1070
422	782	1067
423	783	1064
424	784	1061
425	786	1059
426	788	1057
427	789	1055
428	791	1052
429	792	1050
430	793	1047
431	794	1045
432	795	1042
433	797	1039
434	798	1036
435	799	1033
436	800	1031
437	802	1029
438	804	1027
439	805	1024
440	806	1022
441	807	1019
442	808	1016
443	809	1013
444	810	1011
445	811	1008
446	812	1005
447	814	1003
448	815	1000
449	817	999
450	818	996
451	820	994
452	821	991
453	822	988
454	823	986
455	824	983
